tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
456281949,0.529623,0.520325,0.508977,0.53194,1
456281982,0.514363,0.550523,0.509874,0.533101,1
456282015,0.519749,0.507549,0.510772,0.530778,1
456282049,0.523339,0.515679,0.51167,0.529617,1
456282082,0.52693,0.557491,0.512567,0.53194,1
456282115,0.518851,0.560976,0.513465,0.533101,1
456282148,0.526032,0.486643,0.514363,0.530778,1
456282181,0.51526,0.529617,0.514363,0.529617,1
456282215,0.640036,0.488966,0.640036,0.488966,0
456282248,0.864452,0.428571,0.864452,0.428571,0
456282281,0.851885,0.456446,0.858169,0.442509,0
456282315,0.846499,0.429733,0.854578,0.439024,0
456282350,0.832136,0.43554,0.849192,0.437863,0
456282381,0.845601,0.413473,0.848294,0.433217,0
456282415,0.849192,0.430894,0.849192,0.430894,0
456282448,0.849192,0.412311,0.849192,0.412311,0
456282481,0.852783,0.43554,0.850987,0.423926,0
456282515,0.670557,0.544715,0.790844,0.464576,0
456282548,0.487433,0.598142,0.713645,0.498258,0
456282581,0.494614,0.622532,0.668761,0.52381,0
456282614,0.503591,0.60511,0.503591,0.60511,0
456282648,0.499102,0.615563,0.499102,0.615563,0
456282681,0.495512,0.606272,0.497307,0.610918,0
456282715,0.502693,0.62137,0.499102,0.614402,0
456282748,0.48833,0.632985,0.496409,0.619048,0
456282781,0.482944,0.641115,0.493716,0.623693,0
456282849,0.415619,0.567944,0.471275,0.612079,1
456282881,0.40754,0.551684,0.463196,0.603949,1
456282914,0.429084,0.58885,0.458707,0.601626,1
456282947,0.404847,0.578397,0.452424,0.599303,1
456282981,0.324057,0.404181,0.324057,0.404181,0
456283014,0.333034,0.391405,0.333034,0.391405,0
456283047,0.315978,0.392567,0.324057,0.392567,0
456283081,0.342908,0.429733,0.330341,0.404181,0
456283114,0.327648,0.401858,0.329443,0.404181,0
456283147,0.31149,0.401858,0.325853,0.404181,0
456283181,0.333034,0.398374,0.32675,0.40302,1
456283214,0.324955,0.40302,0.32675,0.40302,1
456283247,0.316876,0.396051,0.325853,0.401858,1
456283280,0.334829,0.400697,0.32675,0.401858,1
456283314,0.31149,0.407665,0.324955,0.40302,1
456283348,0.305206,0.39489,0.32316,0.401858,1
456283380,0.281867,0.405343,0.319569,0.401858,1
456283414,0.288151,0.383275,0.315978,0.400697,1
456283447,0.279174,0.383275,0.313285,0.399535,1
456283480,0.309695,0.372822,0.312388,0.397213,1
456283514,0.302513,0.396051,0.31149,0.396051,1
456283549,0.342908,0.398374,0.313285,0.396051,1
456283582,0.347397,0.418118,0.315978,0.398374,1
456283614,0.334829,0.416957,0.316876,0.399535,1
456283647,0.361759,0.397213,0.319569,0.399535,1
456283681,0.366248,0.398374,0.32316,0.399535,1
456283716,0.359964,0.42741,0.325853,0.400697,1
456283747,0.359066,0.397213,0.327648,0.400697,1
456283780,0.521544,0.528455,0.521544,0.528455,0
456283814,0.664273,0.579559,0.664273,0.579559,0
456283847,0.642729,0.606272,0.653501,0.592335,0
456283880,0.64632,0.586527,0.650808,0.591173,0
456283913,0.64991,0.600465,0.650808,0.593496,0
456283947,0.657092,0.598142,0.651706,0.594657,0
456283980,0.652603,0.567944,0.652603,0.567944,0
456284013,0.64991,0.627178,0.64991,0.627178,0
456284047,0.657092,0.59698,0.653501,0.612079,0
456284080,0.64632,0.612079,0.650808,0.612079,0
456284113,0.658887,0.59698,0.653501,0.608595,0
456284146,0.657092,0.607433,0.653501,0.607433,0
456284180,0.64632,0.644599,0.652603,0.614402,1
456284213,0.668761,0.614402,0.655296,0.614402,1
456284246,0.643627,0.615563,0.653501,0.614402,1
456284280,0.683124,0.663182,0.657092,0.620209,1
456284313,0.681329,0.671312,0.659785,0.626016,1
456284347,0.682226,0.666667,0.66158,0.630662,1
456284380,0.693896,0.652729,0.665171,0.632985,1
