tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
456271490,0.549372,0.500581,0.55386,0.498258,0
456271523,0.570916,0.52381,0.559246,0.506388,0
456271556,0.546679,0.495935,0.556553,0.504065,0
456271723,0.63465,0.497096,0.561041,0.527294,0
456271756,0.610413,0.521487,0.573609,0.524971,0
456271789,0.612208,0.550523,0.581688,0.530778,0
456271823,0.616697,0.533101,0.587971,0.530778,1
456271856,0.639138,0.511034,0.59605,0.528455,1
456271890,0.609515,0.533101,0.597846,0.528455,1
456271923,0.630162,0.530778,0.601436,0.528455,1
456271956,0.629264,0.509872,0.605027,0.527294,1
456271989,0.705566,0.483159,0.705566,0.483159,0
456272022,0.761221,0.456446,0.761221,0.456446,0
456272056,0.768402,0.449477,0.764812,0.452962,0
456272089,0.743267,0.456446,0.75763,0.454123,0
456272122,0.778277,0.43554,0.763016,0.449477,0
456272157,0.759426,0.421603,0.762119,0.44367,0
456272189,0.760323,0.461092,0.762119,0.447154,1
456272224,0.755835,0.449477,0.761221,0.447154,1
456272258,0.746858,0.475029,0.759426,0.450639,1
456272289,0.7307,0.461092,0.755835,0.4518,1
456272322,0.7307,0.455285,0.753142,0.4518,1
456272356,0.760323,0.457607,0.753142,0.452962,1
456272389,0.756733,0.461092,0.75404,0.454123,1
456272422,0.78097,0.478513,0.755835,0.456446,1
456272455,0.789048,0.454123,0.758528,0.456446,1
456272489,0.809695,0.463415,0.763016,0.456446,1
456272522,0.79623,0.484321,0.765709,0.458769,1
456272555,0.812388,0.465738,0.7693,0.45993,1
456272589,0.832136,0.477352,0.773788,0.461092,1
456272622,0.836625,0.457607,0.778277,0.461092,1
456272655,0.803411,0.473868,0.78097,0.462253,1
456272689,0.829443,0.445993,0.78456,0.461092,1
456272722,0.794434,0.481998,0.785458,0.462253,1
456272755,0.82316,0.478513,0.789048,0.463415,1
456272789,0.817774,0.472706,0.791741,0.464576,1
456272822,0.802513,0.486643,0.792639,0.465738,1
456272855,0.802513,0.492451,0.794434,0.46806,1
456272888,0.797127,0.473868,0.795332,0.469222,1
456272922,0.801616,0.464576,0.797127,0.469222,1
456272955,0.807899,0.471545,0.798923,0.470383,1
456272989,0.809695,0.44367,0.800718,0.469222,1
456273022,0.452424,0.408827,0.452424,0.408827,0
456273055,0.320467,0.389082,0.320467,0.389082,0
456273091,0.31149,0.382114,0.315978,0.385598,0
456273122,0.341113,0.415796,0.324057,0.396051,0
456273155,0.318671,0.422764,0.322262,0.40302,0
456273188,0.31149,0.391405,0.320467,0.400697,0
456273222,0.307002,0.409988,0.307002,0.409988,0
456273255,0.322262,0.433217,0.322262,0.433217,0
456273288,0.315978,0.409988,0.318671,0.421603,0
456273321,0.244165,0.346109,0.293537,0.396051,0
456273355,0.263016,0.370499,0.286355,0.390244,0
456273388,0.256732,0.399535,0.280072,0.391405,0
456273421,0.251346,0.392567,0.274686,0.391405,1
456273455,0.253142,0.40302,0.271095,0.393728,1
456273488,0.253142,0.418118,0.268402,0.396051,1
456273522,0.267504,0.396051,0.268402,0.396051,1
456273555,0.253142,0.370499,0.266607,0.393728,1
456273589,0.247756,0.392567,0.264811,0.393728,1
456273622,0.229803,0.372822,0.261221,0.391405,1
