tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
453339125,0.541293,0.207898,0.539497,0.190476,1
453339158,0.544883,0.211382,0.539497,0.192799,1
453339191,0.535009,0.198606,0.539497,0.193961,1
453339224,0.54219,0.222997,0.539497,0.197445,1
453339258,0.535009,0.217189,0.539497,0.199768,1
453339291,0.561939,0.211382,0.540395,0.200929,1
453339324,0.545781,0.218351,0.540395,0.203252,1
453339357,0.536804,0.226481,0.540395,0.205575,1
453339391,0.610413,0.328688,0.610413,0.328688,0
453339424,0.760323,0.636469,0.760323,0.636469,0
453339457,0.758528,0.679443,0.759426,0.657375,0
453339491,0.760323,0.636469,0.760323,0.650406,0
453339524,0.75763,0.66899,0.759426,0.655052,0
453339557,0.749551,0.673635,0.75763,0.658537,0
453339591,0.752244,0.656214,0.752244,0.656214,0
453339624,0.771993,0.66899,0.771993,0.66899,0
453339657,0.631957,0.789779,0.701975,0.729384,0
453339691,0.612208,0.815331,0.672352,0.75842,0
453339725,0.598743,0.818815,0.653501,0.773519,0
453339757,0.605925,0.844367,0.643627,0.788618,0
453339790,0.609515,0.865273,0.609515,0.865273,0
453339826,0.603232,0.86295,0.603232,0.86295,0
453339857,0.606822,0.859466,0.605027,0.860627,0
453339890,0.575404,0.840883,0.595153,0.853659,0
453339924,0.588869,0.909408,0.593357,0.867596,0
453339957,0.612208,0.845528,0.596948,0.86295,0
453339990,0.593357,0.902439,0.596948,0.869919,1
453340023,0.62298,0.852497,0.600539,0.867596,1
453340057,0.604129,0.87921,0.601436,0.868757,1
453340090,0.611311,0.800232,0.602334,0.860627,1
453340123,0.605027,0.898955,0.602334,0.865273,1
453340157,0.568223,0.849013,0.599641,0.86295,1
453340190,0.578097,0.9036,0.596948,0.867596,1
453340223,0.609515,0.874564,0.598743,0.867596,1
453340257,0.590664,0.911731,0.597846,0.87108,1
453340290,0.578995,0.855981,0.59605,0.869919,1
453340323,0.561939,0.890825,0.593357,0.872242,1
453340356,0.584381,0.881533,0.59246,0.873403,1
453340390,0.597846,0.916376,0.59246,0.875726,1
453340423,0.597846,0.853659,0.593357,0.874564,1
453340456,0.59246,0.857143,0.59246,0.873403,1
453340490,0.609515,0.891986,0.594255,0.875726,1
453340523,0.606822,0.85482,0.594255,0.874564,1
453340623,0.620287,0.965157,0.596948,0.889663,1
453340656,0.627469,0.900116,0.598743,0.890825,1
453340690,0.61939,0.886179,0.599641,0.891986,1
453340723,0.59605,0.850174,0.600539,0.890825,1
453340756,0.583483,0.860627,0.599641,0.888502,1
453340790,0.616697,0.800232,0.600539,0.883856,1
453340823,0.616697,0.787456,0.616697,0.787456,0
453340856,0.612208,0.889663,0.612208,0.889663,0
453340889,0.594255,0.83856,0.603232,0.864111,0
453340923,0.605027,0.811847,0.603232,0.84669,0
453340956,0.585278,0.789779,0.598743,0.832753,0
453340989,0.596948,0.852497,0.598743,0.836237,0
