tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
453243700,0.415619,0.811847,0.406643,0.873403,0
453243733,0.385099,0.918699,0.403052,0.881533,1
453243766,0.408438,0.866434,0.40395,0.87921,1
453243800,0.406643,0.918699,0.40395,0.883856,1
453243833,0.401257,0.912892,0.40395,0.88734,1
453243866,0.40395,0.831591,0.40395,0.881533,1
453243900,0.385099,1.00813,0.385099,1.00813,0
453243933,0.412926,0.914053,0.412926,0.914053,0
453243966,0.409336,0.915215,0.411131,0.915215,0
453243999,0.387792,0.99187,0.403052,0.940767,0
453244566,0.180431,0.772358,0.180431,0.772358,0
453244599,0.184919,0.707317,0.183124,0.739837,0
453244632,0.183124,0.714286,0.183124,0.731707,0
453244665,0.198384,0.7259,0.186715,0.729384,0
453244699,0.18851,0.721254,0.187612,0.728223,0
453244732,0.192101,0.789779,0.192101,0.789779,0
453244765,0.193896,0.678281,0.193896,0.678281,0
453244799,0.221724,0.757259,0.208259,0.71777,0
453244832,0.206463,0.759582,0.207361,0.731707,0
453244865,0.202873,0.75029,0.206463,0.736353,0
453244900,0.20018,0.672474,0.205566,0.723577,0
453244932,0.181329,0.718931,0.201077,0.722416,1
453244966,0.219928,0.737514,0.20377,0.724739,1
453245000,0.205566,0.718931,0.20377,0.724739,1
453245032,0.189408,0.749129,0.201975,0.727062,1
453245066,0.18851,0.687573,0.201077,0.722416,1
453245098,0.206463,0.736353,0.201077,0.724739,1
453245132,0.187612,0.687573,0.20018,0.721254,1
453245165,0.166068,0.660859,0.196589,0.715447,1
453245198,0.180431,0.703833,0.195691,0.714286,1
453245232,0.40395,0.527294,0.40395,0.527294,0
453245265,0.725314,0.343786,0.725314,0.343786,0
453245298,0.750449,0.315912,0.737881,0.329849,0
453245332,0.739677,0.324042,0.738779,0.328688,0
453245365,0.733393,0.340302,0.736984,0.33101,0
453245398,0.732495,0.324042,0.736086,0.329849,0
453245432,0.723519,0.304297,0.723519,0.304297,0
453245465,0.771095,0.318235,0.771095,0.318235,0
453245498,0.781867,0.333333,0.776481,0.325203,0
453245531,0.770198,0.353078,0.773788,0.334495,0
453245565,0.775584,0.344948,0.774686,0.336818,0
453245598,0.777379,0.327526,0.775584,0.335656,0
453245631,0.771993,0.356562,0.774686,0.339141,1
453245665,0.785458,0.360046,0.776481,0.342625,1
453245698,0.781867,0.342625,0.777379,0.342625,1
453245731,0.781867,0.346109,0.777379,0.342625,1
453245765,0.772891,0.332172,0.777379,0.341463,1
453245798,0.787253,0.344948,0.778277,0.342625,1
453245832,0.775584,0.325203,0.778277,0.340302,1
453245865,0.781867,0.328688,0.778277,0.339141,1
453245898,0.773788,0.335656,0.778277,0.339141,1
