tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
454696976,0.291741,0.238095,0.287253,0.275261,1
454697010,0.293537,0.232288,0.288151,0.271777,1
454697043,0.291741,0.260163,0.288151,0.269454,1
454697076,0.329443,0.238095,0.291741,0.267131,1
454697110,0.313285,0.234611,0.293537,0.264808,1
454697143,0.301616,0.240418,0.294434,0.262485,1
454697176,0.304309,0.231127,0.295332,0.259001,1
454697209,0.304309,0.25784,0.29623,0.259001,1
454697243,0.304309,0.259001,0.297127,0.25784,1
454697276,0.615799,0.433217,0.615799,0.433217,0
454697310,0.698384,0.499419,0.698384,0.499419,0
454697343,0.710054,0.478513,0.70377,0.488966,0
454697376,0.691203,0.488966,0.70018,0.488966,0
454697409,0.712747,0.498258,0.702873,0.491289,0
454697442,0.710952,0.508711,0.704668,0.494774,0
454697476,0.684919,0.513357,0.701077,0.498258,1
454697509,0.689408,0.498258,0.699282,0.498258,1
454697543,0.696589,0.485482,0.699282,0.495935,1
454697576,0.722621,0.384437,0.701975,0.483159,1
454697609,0.690305,0.324042,0.690305,0.324042,0
454697642,0.704668,0.372822,0.704668,0.372822,0
454697676,0.716338,0.355401,0.710054,0.363531,0
454697709,0.731598,0.360046,0.717235,0.362369,0
454697742,0.628366,0.373984,0.694794,0.365854,0
454697776,0.453321,0.332172,0.645422,0.358885,0
454697809,0.44614,0.350755,0.44614,0.350755,0
454697842,0.447935,0.318235,0.447935,0.318235,0
454697876,0.442549,0.339141,0.445242,0.328688,0
454697909,0.447935,0.357724,0.44614,0.337979,0
454697942,0.433573,0.315912,0.442549,0.333333,0
454697975,0.442549,0.337979,0.442549,0.333333,0
454698009,0.503591,0.30662,0.453321,0.328688,1
454698042,0.597846,0.337979,0.597846,0.337979,0
454698075,0.604129,0.315912,0.604129,0.315912,0
454698109,0.629264,0.334495,0.616697,0.325203,0
454698142,0.622083,0.341463,0.618492,0.329849,0
454698176,0.628366,0.362369,0.621185,0.337979,0
454698211,0.507181,0.399535,0.597846,0.350755,0
454698242,0.313285,0.495935,0.313285,0.495935,0
454698275,0.310592,0.595819,0.310592,0.595819,0
454698309,0.283662,0.569106,0.297127,0.581882,0
454698342,0.304309,0.559814,0.298923,0.574913,0
454698375,0.324955,0.573751,0.306104,0.574913,0
454698408,0.591562,0.405343,0.363555,0.54007,0
454698442,0.680431,0.301974,0.680431,0.301974,0
454698475,0.687612,0.308943,0.687612,0.308943,0
454698508,0.663375,0.284553,0.675045,0.297329,0
454698542,0.692101,0.28223,0.680431,0.291521,0
454698575,0.68851,0.303136,0.683124,0.295006,0
454698608,0.674147,0.262485,0.681329,0.288037,0
454698641,0.654399,0.292683,0.67684,0.289199,1
454698675,0.389587,0.242741,0.389587,0.242741,0
454698708,0.283662,0.221835,0.283662,0.221835,0
454698741,0.28456,0.234611,0.283662,0.227642,0
454698775,0.289048,0.239257,0.285458,0.231127,0
454698808,0.301616,0.221835,0.289946,0.228804,0
454698841,0.310592,0.210221,0.293537,0.225319,0
454698875,0.297127,0.232288,0.294434,0.226481,1
454698908,0.318671,0.203252,0.298025,0.222997,1
454698942,0.305206,0.246225,0.298923,0.226481,1
454698975,0.306104,0.232288,0.29982,0.226481,1
454699008,0.31149,0.26597,0.301616,0.231127,1
454699041,0.340215,0.256678,0.305206,0.233449,1
454699075,0.699282,0.339141,0.699282,0.339141,0
454699108,0.741472,0.349593,0.741472,0.349593,0
454699141,0.733393,0.356562,0.737881,0.353078,0
454699174,0.725314,0.353078,0.733393,0.353078,0
454699208,0.734291,0.365854,0.733393,0.356562,0
454699241,0.731598,0.356562,0.733393,0.356562,0
454699274,0.734291,0.358885,0.733393,0.356562,1
454699308,0.74596,0.342625,0.735188,0.354239,1
454699341,0.7307,0.390244,0.735188,0.358885,1
454699374,0.726212,0.343786,0.733393,0.357724,1
454699408,0.71903,0.353078,0.732495,0.357724,1
454699441,0.722621,0.491289,0.722621,0.491289,0
454699474,0.724416,0.592335,0.724416,0.592335,0
454699507,0.714542,0.586527,0.71903,0.58885,0
454699541,0.735188,0.617886,0.724416,0.598142,0
454699574,0.729802,0.607433,0.726212,0.600465,0
454699607,0.729802,0.630662,0.727109,0.607433,0
454699641,0.720826,0.57259,0.726212,0.601626,1
454699674,0.728905,0.616725,0.726212,0.603949,1
454699707,0.745063,0.56446,0.728905,0.598142,1
454699741,0.740574,0.608595,0.729802,0.599303,1
454699774,0.739677,0.574913,0.731598,0.59698,1
454699808,0.733393,0.587689,0.731598,0.595819,1
454699841,0.721723,0.584204,0.7307,0.594657,1
454699874,0.726212,0.551684,0.7307,0.591173,1
454699907,0.588869,0.42741,0.588869,0.42741,0
454699940,0.548474,0.358885,0.548474,0.358885,0
454699974,0.504488,0.346109,0.526032,0.351916,0
454700008,0.532316,0.380952,0.527828,0.361208,0
454700041,0.539497,0.390244,0.531418,0.369338,0
454700075,0.422801,0.452962,0.508977,0.385598,0
454700108,0.315978,0.591173,0.315978,0.591173,0
454700141,0.271993,0.85482,0.271993,0.85482,0
454700175,0.324057,0.763066,0.298025,0.808362,0
454700208,0.334829,0.799071,0.310592,0.804878,0
454700241,0.298923,0.739837,0.307899,0.788618,0
454700275,0.297127,0.786295,0.305206,0.788618,0
454700308,0.306104,0.767712,0.306104,0.767712,0
454700341,0.322262,0.867596,0.322262,0.867596,0
454700374,0.293537,0.779326,0.307899,0.823461,0
454700408,0.314183,0.736353,0.309695,0.794425,0
454700441,0.29982,0.73403,0.307002,0.779326,0
454700474,0.298923,0.774681,0.305206,0.778165,0
454700508,0.467684,0.632985,0.467684,0.632985,0
454700541,0.490126,0.675958,0.490126,0.675958,0
454700575,0.486535,0.646922,0.48833,0.662021,0
454700608,0.494614,0.67712,0.490126,0.666667,0
454700643,0.479354,0.718931,0.487433,0.680604,0
454700674,0.48833,0.69338,0.487433,0.682927,0
454700707,0.476661,0.649245,0.485637,0.67712,1
454700741,0.479354,0.704994,0.48474,0.681765,1
