tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
454721291,0.743267,0.315912,0.71903,0.303136,1
454721325,0.728905,0.281069,0.719928,0.303136,1
454721358,0.729802,0.303136,0.720826,0.304297,1
454721391,0.748653,0.270616,0.722621,0.303136,1
454721424,0.735188,0.255517,0.723519,0.300813,1
454721458,0.731598,0.286876,0.724416,0.299652,1
454721491,0.728007,0.292683,0.725314,0.300813,1
454721524,0.719928,0.268293,0.725314,0.29849,1
454721558,0.743267,0.269454,0.727109,0.296167,1
454721591,0.737881,0.264808,0.728007,0.295006,1
454721624,0.704668,0.2741,0.727109,0.292683,1
454721658,0.714542,0.25784,0.726212,0.29036,1
454721691,0.75404,0.324042,0.728007,0.292683,1
454721724,0.747756,0.319396,0.729802,0.293844,1
454721757,0.735188,0.28223,0.7307,0.292683,1
454721792,0.736984,0.250871,0.7307,0.288037,1
454721825,0.479354,0.353078,0.479354,0.353078,0
454721858,0.4614,0.353078,0.4614,0.353078,0
454721892,0.412926,0.321719,0.437163,0.337979,0
454721925,0.453321,0.344948,0.442549,0.340302,0
454721958,0.449731,0.336818,0.444345,0.339141,0
454721991,0.449731,0.354239,0.445242,0.342625,0
454722024,0.444345,0.349593,0.445242,0.343786,1
454722058,0.465889,0.369338,0.447935,0.347271,1
454722091,0.456014,0.356562,0.449731,0.348432,1
454722124,0.444345,0.33101,0.448833,0.346109,1
454722157,0.405745,0.348432,0.444345,0.347271,1
454722191,0.463196,0.549361,0.463196,0.549361,0
454722224,0.479354,0.70151,0.479354,0.70151,0
454722257,0.456912,0.646922,0.468582,0.673635,0
454722291,0.509874,0.739837,0.482047,0.695703,0
454722324,0.503591,0.787456,0.487433,0.718931,0
454722357,0.447038,0.642276,0.479354,0.703833,0
454722391,0.492819,0.682927,0.492819,0.682927,0
