tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
454421996,0.726212,0.220674,0.717235,0.222997,1
454422029,0.716338,0.220674,0.717235,0.221835,1
454422063,0.732495,0.229965,0.718133,0.222997,1
454422096,0.723519,0.211382,0.718133,0.221835,1
454422129,0.728007,0.202091,0.71903,0.220674,1
454422162,0.709156,0.225319,0.718133,0.220674,1
454422196,0.725314,0.233449,0.71903,0.220674,1
454422229,0.724416,0.210221,0.719928,0.219512,1
454422262,0.739677,0.233449,0.720826,0.220674,1
454422296,0.711849,0.227642,0.720826,0.220674,1
454422329,0.751347,0.220674,0.722621,0.220674,1
454422362,0.729802,0.224158,0.723519,0.220674,1
454422395,0.75404,0.261324,0.725314,0.222997,1
454422429,0.798923,0.483159,0.798923,0.483159,0
454422462,0.814183,0.592335,0.814183,0.592335,0
454422495,0.813285,0.576074,0.813285,0.584204,0
454422529,0.815081,0.581882,0.814183,0.583043,0
454422562,0.791741,0.569106,0.808797,0.579559,0
454422595,0.793537,0.598142,0.805206,0.583043,0
454422629,0.800718,0.592335,0.804309,0.585366,1
454422662,0.791741,0.600465,0.802513,0.587689,1
454422695,0.812388,0.60511,0.803411,0.590012,1
454422729,0.812388,0.57259,0.805206,0.587689,1
454422762,0.79982,0.610918,0.804309,0.590012,1
454422795,0.801616,0.577236,0.804309,0.58885,1
454422829,0.794434,0.578397,0.803411,0.587689,1
454422862,0.792639,0.577236,0.802513,0.587689,1
454422895,0.803411,0.614402,0.802513,0.58885,1
454422928,0.792639,0.628339,0.801616,0.592335,1
454422962,0.787253,0.562137,0.79982,0.590012,1
454422995,0.786355,0.570267,0.798923,0.58885,1
454423028,0.773788,0.614402,0.797127,0.591173,1
454423061,0.7693,0.609756,0.795332,0.592335,1
454423095,0.78456,0.594657,0.794434,0.592335,1
454423128,0.762119,0.601626,0.791741,0.593496,1
454423161,0.771993,0.635308,0.789946,0.595819,1
454423195,0.561939,0.801394,0.561939,0.801394,0
454423228,0.528725,0.781649,0.528725,0.781649,0
454423261,0.556553,0.807201,0.54219,0.794425,0
454423295,0.547576,0.809524,0.543986,0.799071,0
454423328,0.549372,0.81417,0.545781,0.803717,0
454423361,0.529623,0.802555,0.54219,0.803717,0
454423395,0.563734,0.777003,0.545781,0.799071,1
454423428,0.591562,0.81417,0.552962,0.801394,1
454423461,0.551167,0.828107,0.552962,0.804878,1
454423494,0.573609,0.778165,0.555655,0.801394,1
454423528,0.698384,0.81417,0.698384,0.81417,0
454423561,0.713645,0.809524,0.713645,0.809524,0
454423594,0.687612,0.851336,0.701077,0.83043,0
454423628,0.707361,0.818815,0.702873,0.826945,0
454423661,0.71544,0.816492,0.706463,0.824623,0
454423695,0.695691,0.804878,0.70377,0.819977,0
454423728,0.740574,0.799071,0.710054,0.816492,1
454423761,0.752244,0.813008,0.716338,0.816492,1
454423794,0.739677,0.823461,0.719928,0.817654,1
454423828,0.760323,0.778165,0.724416,0.813008,1
454423861,0.754937,0.807201,0.728007,0.811847,1
454423894,0.755835,0.796748,0.7307,0.810685,1
454423928,0.758528,0.744483,0.734291,0.803717,1
454423961,0.75404,0.770035,0.736086,0.800232,1
454423994,0.744165,0.774681,0.736984,0.797909,1
454424027,0.767505,0.720093,0.739677,0.792102,1
454424061,0.758528,0.729384,0.741472,0.786295,1
454424094,0.787253,0.702671,0.745063,0.780488,1
454424127,0.705566,0.799071,0.743267,0.780488,1
454424161,0.525135,0.835075,0.525135,0.835075,0
454424194,0.54219,0.802555,0.54219,0.802555,0
454424227,0.522442,0.796748,0.532316,0.799071,0
454424261,0.529623,0.786295,0.531418,0.795587,0
454424294,0.521544,0.823461,0.528725,0.802555,0
454424327,0.516158,0.811847,0.526032,0.803717,0
454424360,0.536804,0.836237,0.527828,0.809524,1
454424394,0.51167,0.832753,0.525135,0.813008,1
454424427,0.551167,0.786295,0.528725,0.809524,1
454424460,0.510772,0.800232,0.52693,0.808362,1
454424494,0.52693,0.821138,0.52693,0.809524,1
