tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
454458167,0.292639,0.704994,0.270197,0.659698,1
454458200,0.270197,0.673635,0.270197,0.659698,1
454458234,0.280072,0.673635,0.271095,0.660859,1
454458267,0.25763,0.657375,0.270197,0.660859,1
454458300,0.283662,0.686411,0.271095,0.663182,1
454458334,0.286355,0.663182,0.271993,0.663182,1
454458367,0.270197,0.686411,0.271993,0.664344,1
454458400,0.282765,0.681765,0.273788,0.665505,1
454458433,0.270197,0.66899,0.273788,0.666667,1
454458467,0.603232,0.573751,0.603232,0.573751,0
454458500,0.736984,0.447154,0.736984,0.447154,0
454458533,0.728905,0.445993,0.732495,0.447154,0
454458567,0.733393,0.421603,0.732495,0.437863,0
454458600,0.748653,0.478513,0.736984,0.448316,0
454458633,0.736086,0.441347,0.736984,0.447154,0
454458667,0.750449,0.349593,0.750449,0.349593,0
454458700,0.749551,0.369338,0.749551,0.369338,0
454458733,0.74237,0.343786,0.74596,0.356562,0
454458767,0.745063,0.37863,0.74596,0.364692,0
454458800,0.733393,0.39489,0.74237,0.371661,0
454458834,0.774686,0.541231,0.749551,0.406504,0
454458866,0.763914,0.509872,0.763914,0.509872,0
454458900,0.763914,0.541231,0.763914,0.541231,0
454458933,0.789946,0.513357,0.777379,0.527294,0
454458966,0.770198,0.537747,0.774686,0.530778,0
454458999,0.763914,0.530778,0.771993,0.530778,0
454459033,0.772891,0.518002,0.771993,0.528455,0
454459066,0.763914,0.538908,0.771095,0.529617,1
454459100,0.782765,0.535424,0.772891,0.530778,1
454459133,0.772891,0.513357,0.772891,0.528455,1
454459166,0.771095,0.541231,0.772891,0.529617,1
454459199,0.776481,0.492451,0.772891,0.526132,1
454459233,0.7693,0.537747,0.772891,0.527294,1
454459266,0.786355,0.488966,0.773788,0.52381,1
454459299,0.758528,0.391405,0.758528,0.391405,0
454459333,0.736086,0.398374,0.736086,0.398374,0
454459366,0.752244,0.41115,0.744165,0.405343,0
454459399,0.752244,0.39489,0.746858,0.401858,0
454459433,0.738779,0.406504,0.745063,0.40302,0
454459466,0.532316,0.409988,0.701975,0.404181,0
454459499,0.357271,0.462253,0.357271,0.462253,0
454459532,0.347397,0.492451,0.347397,0.492451,0
454459566,0.346499,0.47619,0.346499,0.484321,0
454459599,0.357271,0.461092,0.35009,0.47619,0
454459633,0.342011,0.455285,0.348294,0.471545,0
454459666,0.35009,0.463415,0.348294,0.469222,0
454459700,0.317774,0.450639,0.342908,0.465738,1
454459732,0.340215,0.442509,0.342908,0.462253,1
454459766,0.328546,0.477352,0.341113,0.464576,1
454459799,0.398564,0.54007,0.347397,0.472706,1
454459832,0.359964,0.516841,0.349192,0.478513,1
454459865,0.354578,0.504065,0.35009,0.480836,1
454459899,0.359066,0.541231,0.350987,0.486643,1
454459932,0.363555,0.551684,0.351885,0.492451,1
454459965,0.428187,0.413473,0.358169,0.486643,1
454459999,0.616697,0.281069,0.616697,0.281069,0
454460032,0.650808,0.260163,0.650808,0.260163,0
454460065,0.650808,0.304297,0.650808,0.28223,0
454460099,0.647217,0.269454,0.649013,0.277584,0
454460132,0.642729,0.270616,0.648115,0.276423,0
454460165,0.633752,0.276423,0.644524,0.276423,0
454460199,0.78456,0.311266,0.78456,0.311266,0
454460232,0.763914,0.293844,0.763914,0.293844,0
454460265,0.7693,0.305459,0.766607,0.299652,0
454460298,0.775584,0.325203,0.770198,0.307782,0
454460332,0.773788,0.301974,0.771095,0.30662,0
454460365,0.748653,0.307782,0.766607,0.30662,0
454460398,0.781867,0.291521,0.7693,0.304297,1
454460432,0.766607,0.315912,0.768402,0.30662,1
454460465,0.545781,0.272938,0.545781,0.272938,0
454460499,0.447038,0.219512,0.447038,0.219512,0
454460532,0.454219,0.209059,0.450628,0.214866,0
454460565,0.452424,0.217189,0.451526,0.214866,0
454460598,0.428187,0.192799,0.44614,0.209059,0
454460631,0.450628,0.216028,0.447038,0.211382,0
454460665,0.422801,0.250871,0.422801,0.250871,0
454460698,0.453321,0.225319,0.453321,0.225319,0
454460731,0.347397,0.279907,0.400359,0.253194,0
454460765,0.358169,0.252033,0.385996,0.252033,0
454460798,0.354578,0.256678,0.377917,0.253194,0
454460831,0.346499,0.247387,0.371634,0.252033,0
454460865,0.358169,0.255517,0.368941,0.253194,1
454460898,0.347397,0.225319,0.36535,0.248548,1
454460931,0.348294,0.233449,0.363555,0.246225,1
454460965,0.35009,0.231127,0.361759,0.245064,1
454460998,0.420108,0.281069,0.367145,0.248548,1
454461031,0.45781,0.279907,0.376122,0.252033,1
454461065,0.460503,0.272938,0.384201,0.253194,1
454461098,0.452424,0.279907,0.390485,0.255517,1
454461131,0.476661,0.276423,0.398564,0.25784,1
454461164,0.452424,0.275261,0.403052,0.259001,1
454461198,0.433573,0.295006,0.405745,0.262485,1
454461231,0.454219,0.25784,0.410233,0.262485,1
454461265,0.464093,0.262485,0.414722,0.262485,1
454461298,0.438959,0.269454,0.417415,0.263647,1
454461331,0.449731,0.268293,0.420108,0.263647,1
454461364,0.442549,0.285714,0.422801,0.26597,1
454461397,0.456014,0.256678,0.425494,0.264808,1
454461431,0.443447,0.277584,0.427289,0.26597,1
454461464,0.449731,0.264808,0.429982,0.26597,1
454461497,0.448833,0.268293,0.431777,0.267131,1
454461531,0.44614,0.262485,0.433573,0.267131,1
454461564,0.448833,0.262485,0.436266,0.267131,1
454461597,0.451526,0.2741,0.438959,0.267131,1
454461631,0.451526,0.262485,0.440754,0.267131,1
