tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
454654977,0.279174,0.699187,0.276481,0.718931,1
454655010,0.275583,0.696864,0.276481,0.716609,1
454655043,0.29623,0.694541,0.278276,0.715447,1
454655077,0.278276,0.674797,0.278276,0.711963,1
454655110,0.302513,0.729384,0.280072,0.713124,1
454655143,0.276481,0.728223,0.280072,0.714286,1
454655177,0.289946,0.670151,0.280969,0.710801,1
454655210,0.285458,0.700348,0.281867,0.70964,1
454655243,0.283662,0.70964,0.281867,0.70964,1
454655310,0.527828,0.727062,0.527828,0.727062,0
454655355,0.530521,0.771196,0.530521,0.771196,0
454655376,0.510772,0.752613,0.520646,0.761905,0
454655410,0.508079,0.743322,0.516158,0.754936,0
454655443,0.506284,0.74216,0.513465,0.752613,0
454655476,0.526032,0.704994,0.516158,0.74216,0
454655510,0.536804,0.771196,0.519749,0.746806,1
454655543,0.509874,0.745645,0.517953,0.746806,1
454655576,0.51526,0.770035,0.517953,0.75029,1
454655610,0.495512,0.731707,0.51526,0.747967,1
454655643,0.564632,0.737514,0.520646,0.746806,1
454655676,0.576302,0.714286,0.526032,0.743322,1
454655710,0.574506,0.700348,0.530521,0.738676,1
454655743,0.56912,0.700348,0.534111,0.735192,1
454655776,0.560144,0.691057,0.536804,0.731707,1
454655809,0.586176,0.720093,0.541293,0.730546,1
454655843,0.567325,0.756098,0.543088,0.731707,1
454655876,0.556553,0.765389,0.544883,0.73403,1
454655909,0.551167,0.66899,0.545781,0.729384,1
454656109,0.521544,0.622532,0.548474,0.721254,1
454656142,0.550269,0.636469,0.549372,0.715447,1
454656176,0.577199,0.550523,0.577199,0.550523,0
454656209,0.563734,0.644599,0.563734,0.644599,0
454656242,0.570916,0.598142,0.567325,0.62137,0
454656276,0.549372,0.74216,0.561041,0.662021,0
454656309,0.555655,0.60511,0.560144,0.646922,0
454656342,0.531418,0.307782,0.55386,0.578397,0
454656376,0.490126,0.0766551,0.490126,0.0766551,0
454656409,0.471275,0.0569106,0.471275,0.0569106,0
454656442,0.497307,0.0824623,0.48474,0.0696864,0
454656476,0.486535,0.0522648,0.48474,0.0638792,0
454656509,0.476661,0.0371661,0.482944,0.0569106,0
