tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
454688518,0.74596,0.678281,0.728007,0.75842,1
454688551,0.723519,0.696864,0.728007,0.753775,1
454688584,0.765709,0.684088,0.729802,0.747967,1
454688617,0.753142,0.68525,0.731598,0.743322,1
454688651,0.777379,0.607433,0.777379,0.607433,0
454688684,0.803411,0.592335,0.803411,0.592335,0
454688717,0.809695,0.601626,0.806104,0.59698,0
454688751,0.774686,0.602787,0.79623,0.599303,0
454688784,0.795332,0.627178,0.795332,0.606272,0
454688817,0.787253,0.586527,0.793537,0.602787,0
454688851,0.781867,0.601626,0.791741,0.601626,1
454688884,0.774686,0.603949,0.789048,0.602787,1
454688917,0.756733,0.587689,0.78456,0.600465,1
454688950,0.774686,0.617886,0.783662,0.602787,1
454688984,0.789946,0.636469,0.783662,0.606272,1
454689017,0.761221,0.627178,0.781867,0.608595,1
454689050,0.736086,0.591173,0.777379,0.606272,1
454689084,0.337522,0.569106,0.337522,0.569106,0
454689117,0.325853,0.567944,0.325853,0.567944,0
454689150,0.346499,0.513357,0.335727,0.54007,0
454689184,0.339318,0.560976,0.337522,0.547038,0
454689217,0.333034,0.559814,0.335727,0.550523,0
454689251,0.352783,0.587689,0.339318,0.557491,0
454689283,0.370736,0.716609,0.370736,0.716609,0
454689317,0.358169,0.70151,0.358169,0.70151,0
454689350,0.386894,0.718931,0.372531,0.70964,0
454689383,0.341113,0.653891,0.361759,0.691057,0
454689416,0.388689,0.679443,0.368941,0.688734,0
454689450,0.370736,0.663182,0.368941,0.682927,0
454689483,0.385099,0.664344,0.371634,0.679443,1
454689517,0.482944,0.761905,0.482944,0.761905,0
454689550,0.508079,0.749129,0.508079,0.749129,0
454689583,0.504488,0.723577,0.506284,0.736353,0
454689616,0.536804,0.817654,0.516158,0.763066,0
454689649,0.500898,0.759582,0.512567,0.761905,0
454689683,0.508079,0.803717,0.51167,0.771196,0
454689716,0.522442,0.728223,0.513465,0.763066,1
454689749,0.517056,0.753775,0.514363,0.761905,1
454689783,0.514363,0.767712,0.514363,0.763066,1
454689816,0.497307,0.787456,0.512567,0.765389,1
454689849,0.509874,0.730546,0.51167,0.761905,1
454689883,0.51167,0.760743,0.51167,0.761905,1
454689916,0.529623,0.766551,0.513465,0.761905,1
454689949,0.502693,0.789779,0.512567,0.764228,1
454689983,0.516158,0.639954,0.512567,0.754936,1
454690017,0.462298,0.773519,0.508977,0.756098,1
454690050,0.361759,0.772358,0.361759,0.772358,0
454690083,0.343806,0.764228,0.343806,0.764228,0
454690116,0.393178,0.749129,0.368941,0.757259,0
454690149,0.356373,0.766551,0.364452,0.760743,0
454690182,0.345601,0.730546,0.359964,0.752613,0
454690216,0.340215,0.780488,0.355476,0.75842,0
454690249,0.357271,0.75842,0.356373,0.75842,1
454690282,0.361759,0.789779,0.356373,0.763066,1
454690315,0.351885,0.790941,0.356373,0.766551,1
454690349,0.342011,0.745645,0.354578,0.764228,1
454690382,0.332136,0.765389,0.351885,0.764228,1
454690415,0.352783,0.735192,0.351885,0.761905,1
454690449,0.334829,0.684088,0.35009,0.754936,1
454690482,0.33842,0.695703,0.349192,0.749129,1
454690515,0.308797,0.637631,0.345601,0.739837,1
454690548,0.354578,0.70151,0.346499,0.736353,1
454690582,0.319569,0.599303,0.319569,0.599303,0
454690615,0.324955,0.537747,0.324955,0.537747,0
454690648,0.298923,0.569106,0.312388,0.554007,0
454690682,0.309695,0.592335,0.31149,0.566783,0
454690715,0.321364,0.558653,0.314183,0.56446,0
454690748,0.282765,0.581882,0.307002,0.567944,0
454690782,0.279174,0.606272,0.302513,0.574913,1
454690815,0.289946,0.649245,0.300718,0.585366,1
454690849,0.267504,0.608595,0.29623,0.58885,1
454690882,0.288151,0.648084,0.295332,0.595819,1
454690915,0.273788,0.630662,0.292639,0.600465,1
454690948,0.278276,0.714286,0.290844,0.612079,1
454690981,0.302513,0.81417,0.302513,0.81417,0
454691015,0.29623,0.744483,0.29623,0.744483,0
454691048,0.268402,0.775842,0.282765,0.759582,0
454691081,0.278276,0.75842,0.280969,0.759582,0
454691115,0.265709,0.749129,0.277379,0.757259,0
454691148,0.271993,0.793264,0.275583,0.764228,0
454691181,-2.23519,1.23345,-2.23519,1.23345,0
454691514,0.318671,0.729384,0.315978,0.698026,0
454691548,0.298923,0.780488,0.312388,0.718931,0
454691581,0.447038,0.528455,0.339318,0.680604,0
