tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
318172746,0.704098,0.370886,0.736066,0.36962,1
318172780,0.694262,0.375949,0.732787,0.36962,1
318172812,0.682787,0.364557,0.728689,0.368354,1
318172846,0.670492,0.343038,0.72377,0.367089,1
318172879,0.695902,0.374684,0.722131,0.367089,1
318172912,0.681967,0.321519,0.718852,0.363291,1
318172946,0.680328,0.356962,0.715574,0.363291,1
318172979,0.695902,0.340506,0.713934,0.360759,1
318173013,0.682787,0.344304,0.711475,0.359494,1
318173046,0.678689,0.343038,0.708197,0.358228,1
318173079,0.72377,0.327848,0.709016,0.355696,1
318173112,0.727049,0.321519,0.709836,0.353165,1
318173145,0.709016,0.359494,0.709016,0.353165,1
318173179,0.75,0.321519,0.710656,0.350633,1
318173212,0.697541,0.3,0.709836,0.348101,1
318173245,0.727049,0.325316,0.710656,0.34557,1
318173279,0.711475,0.316456,0.710656,0.343038,1
318173312,0.715574,0.331646,0.710656,0.341772,1
318173345,0.65082,0.455696,0.707377,0.348101,1
318173379,0.635246,0.544304,0.635246,0.544304,0
318173412,0.620492,0.578481,0.620492,0.578481,0
318173445,0.618852,0.616456,0.619672,0.597468,0
318173479,0.660656,0.678481,0.633607,0.624051,0
318173512,0.657377,0.537975,0.639344,0.602532,0
318173545,0.604918,0.588608,0.632787,0.6,0
318173578,0.636885,0.581013,0.633607,0.596203,1
318173612,0.610656,0.546835,0.630328,0.588608,1
318173645,0.428689,0.549367,0.428689,0.549367,0
318173678,0.245902,0.434177,0.245902,0.434177,0
318173711,0.245082,0.45443,0.245082,0.444304,0
318173745,0.252459,0.456962,0.247541,0.449367,0
318173780,0.22459,0.46962,0.241803,0.45443,0
318173812,0.240984,0.473418,0.241803,0.458228,0
318173845,0.256557,0.512658,0.256557,0.512658,0
318173880,0.241803,0.453165,0.241803,0.453165,0
318173911,0.245902,0.45443,0.244262,0.453165,0
318173945,0.24918,0.462025,0.245902,0.456962,0
318173978,0.255738,0.498734,0.248361,0.467089,0
318174011,0.543443,0.405063,0.308197,0.45443,0
318174045,0.784426,0.356962,0.784426,0.356962,0
318174078,0.803279,0.383544,0.803279,0.383544,0
318174111,0.802459,0.368354,0.802459,0.375949,0
318174244,0.706557,0.336709,0.77459,0.317722,1
318174278,0.693443,0.340506,0.762295,0.320253,1
318174311,0.687705,0.336709,0.752459,0.322785,1
318174344,0.672951,0.320253,0.742623,0.322785,1
318174378,0.686066,0.351899,0.736066,0.325316,1
318174411,0.684426,0.308861,0.730328,0.324051,1
318174444,0.310656,0.44557,0.310656,0.44557,0
318174478,0.30082,0.432911,0.30082,0.432911,0
318174511,0.32541,0.477215,0.313115,0.455696,0
318174544,0.295082,0.426582,0.307377,0.44557,0
318174578,0.301639,0.455696,0.305738,0.448101,0
318174611,0.308197,0.446835,0.306557,0.448101,0
318174644,0.30082,0.43038,0.305738,0.44557,1
318174678,0.3,0.420253,0.304918,0.441772,1
318174711,0.301639,0.38481,0.304098,0.434177,1
318174744,0.302459,0.448101,0.304098,0.435443,1
318174777,0.304918,0.467089,0.304098,0.439241,1
318174811,0.296721,0.450633,0.303279,0.440506,1
318174844,0.236066,0.367089,0.296721,0.432911,1
318174877,0.263934,0.324051,0.294262,0.424051,1
318174910,0.245902,0.360759,0.289344,0.417722,1
318174944,0.245082,0.355696,0.286066,0.412658,1
318174977,0.228689,0.320253,0.281148,0.405063,1
318175010,0.234426,0.329114,0.277049,0.398734,1
318175044,0.251639,0.365823,0.27459,0.394937,1
318175077,0.229508,0.343038,0.271311,0.391139,1
318175110,0.27459,0.33038,0.270492,0.386076,1
318175144,0.22623,0.33038,0.267213,0.381013,1
318175177,0.270492,0.362025,0.266393,0.378481,1
318175210,0.245082,0.353165,0.264754,0.375949,1
318175243,0.284426,0.381013,0.265574,0.375949,1
318175277,0.251639,0.387342,0.263934,0.374684,1
318175310,0.267213,0.391139,0.263934,0.374684,1
318175344,0.278689,0.388608,0.263934,0.374684,1
318175377,0.241803,0.364557,0.262295,0.373418,1
318175410,0.230328,0.373418,0.259836,0.373418,1
318175444,0.272951,0.4,0.260656,0.374684,1
318175477,0.232787,0.351899,0.258197,0.372152,1
318175510,0.267213,0.440506,0.258197,0.375949,1
