tstamp,mouse_x,mouse_y
1428526564275,0.672352,0.536585
1428526564470,0.672352,0.535424
1428526564580,0.670557,0.535424
1428526564677,0.663375,0.536585
1428526564771,0.650808,0.537747
1428526564866,0.630162,0.549361
1428526564964,0.59605,0.571429
1428526565047,0.571813,0.587689
1428526565137,0.537702,0.615563
1428526565236,0.509874,0.641115
1428526565330,0.483842,0.663182
1428526565412,0.467684,0.674797
1428526565508,0.447038,0.692218
1428526565603,0.431777,0.704994
1428526565667,0.424596,0.714286
1428526565764,0.418312,0.722416
1428526565846,0.416517,0.724739
1428526565938,0.415619,0.724739
1428526566036,0.415619,0.723577
1428526566130,0.415619,0.721254
1428526566243,0.414722,0.718931
1428526566341,0.413824,0.71777
1428526566434,0.412926,0.711963
1428526566531,0.409336,0.692218
1428526566646,0.406643,0.657375
1428526566739,0.40754,0.617886
1428526566836,0.410233,0.578397
1428526566901,0.410233,0.551684
1428526566995,0.409336,0.514518
1428526567077,0.406643,0.493612
1428526567174,0.404847,0.46806
1428526567265,0.40395,0.456446
1428526567363,0.402154,0.452962
1428526567427,0.401257,0.450639
1428526567508,0.399461,0.449477
1428526567603,0.401257,0.448316
1428526567700,0.410233,0.448316
1428526567795,0.435368,0.450639
1428526567875,0.463196,0.454123
1428526567973,0.508079,0.45993
1428526568066,0.548474,0.462253
1428526568131,0.572711,0.461092
1428526568227,0.602334,0.455285
1428526568311,0.617594,0.447154
1428526568386,0.630162,0.437863
1428526568468,0.645422,0.421603
1428526568563,0.653501,0.409988
1428526568661,0.656194,0.40302
1428526568741,0.653501,0.40302
1428526568834,0.650808,0.407665
1428526568930,0.649013,0.412311
1428526569030,0.645422,0.418118
1428526569111,0.639138,0.425087
1428526569204,0.621185,0.437863
1428526569299,0.595153,0.455285
1428526569394,0.563734,0.471545
1428526569492,0.524237,0.485482
1428526569571,0.495512,0.493612
1428526569668,0.455117,0.506388
1428526569763,0.421903,0.520325
1428526569860,0.402154,0.536585
1428526569943,0.395871,0.545877
1428526570035,0.394075,0.557491
1428526570132,0.397666,0.566783
1428526570226,0.400359,0.569106
1428526570340,0.403052,0.569106
1428526570438,0.406643,0.569106
1428526570531,0.409336,0.570267
1428526570594,0.413824,0.573751
1428526570694,0.423698,0.579559
1428526570775,0.433573,0.585366
1428526570866,0.452424,0.598142
1428526570964,0.467684,0.609756
1428526571059,0.480251,0.622532
1428526571125,0.48833,0.631823
1428526571206,0.493716,0.639954
1428526571299,0.501795,0.649245
1428526571395,0.506284,0.655052
1428526571493,0.507181,0.658537
1428526571571,0.507181,0.659698
1428526571666,0.506284,0.660859
1428526571763,0.503591,0.662021
1428526571826,0.502693,0.662021
1428526571924,0.501795,0.659698
1428526572006,0.501795,0.658537
1428526572104,0.501795,0.659698
1428526572195,0.502693,0.665505
1428526572293,0.506284,0.680604
1428526572401,0.505386,0.700348
1428526572499,0.504488,0.723577
1428526572596,0.501795,0.745645
1428526572690,0.494614,0.767712
1428526572789,0.48833,0.785134
1428526572869,0.48474,0.788618
1428526572963,0.480251,0.782811
1428526573060,0.482047,0.766551
1428526573126,0.489228,0.753775
1428526573240,0.51167,0.736353
1428526573330,0.546679,0.708479
1428526573428,0.581688,0.672474
1428526573523,0.613106,0.628339
1428526573635,0.64632,0.586527
1428526573700,0.666966,0.555168
1428526573794,0.691203,0.507549
1428526573892,0.708259,0.461092
1428526573990,0.717235,0.421603
1428526574065,0.721723,0.404181
1428526574162,0.722621,0.389082
1428526574261,0.71903,0.385598
1428526574322,0.714542,0.387921
1428526574419,0.705566,0.393728
1428526574498,0.70018,0.398374
1428526574593,0.693896,0.405343
1428526574691,0.687612,0.41115
1428526574789,0.684022,0.418118
1428526574865,0.682226,0.421603
1428526574963,0.681329,0.42741
1428526575026,0.674147,0.43554
1428526575123,0.653501,0.463415
1428526575220,0.624776,0.500581
1428526575298,0.604129,0.521487
1428526575394,0.574506,0.549361
1428526575491,0.547576,0.571429
1428526575555,0.533214,0.581882
1428526575649,0.516158,0.594657
1428526575731,0.508079,0.602787
1428526575826,0.497307,0.61324
1428526575922,0.489228,0.623693
1428526576017,0.486535,0.631823
1428526576098,0.487433,0.637631
1428526576194,0.492819,0.643438
1428526576259,0.497307,0.648084
1428526576356,0.500898,0.651568
1428526576455,0.499102,0.652729
1428526576530,0.497307,0.650406
1428526576628,0.491921,0.644599
1428526576726,0.483842,0.635308
1428526576821,0.474865,0.620209
1428526576932,0.462298,0.603949
1428526577025,0.447038,0.586527
1428526577124,0.427289,0.571429
1428526577221,0.404847,0.555168
1428526577330,0.385099,0.54007
1428526577426,0.371634,0.528455
1428526577492,0.368941,0.522648
1428526577569,0.368043,0.518002
1428526577651,0.367145,0.511034
