tstamp,mouse_x,mouse_y
1428527729203,0.81149,0.371661
1428527729284,0.809695,0.371661
1428527729381,0.805206,0.372822
1428527729474,0.792639,0.369338
1428527729569,0.764812,0.364692
1428527729635,0.741472,0.357724
1428527729717,0.711849,0.347271
1428527729812,0.667864,0.333333
1428527729906,0.627469,0.329849
1428527730001,0.600539,0.332172
1428527730116,0.589767,0.339141
1428527730211,0.587971,0.348432
1428527730305,0.59246,0.357724
1428527730403,0.603232,0.361208
1428527730516,0.617594,0.365854
1428527730612,0.632855,0.367015
1428527730706,0.643627,0.368177
1428527730805,0.640934,0.367015
1428527730916,0.629264,0.362369
1428527731010,0.60772,0.354239
1428527731105,0.578097,0.344948
1428527731201,0.546679,0.335656
1428527731301,0.514363,0.33101
1428527731377,0.494614,0.332172
1428527731473,0.471275,0.334495
1428527731539,0.45781,0.339141
1428527731634,0.443447,0.344948
1428527731747,0.436266,0.347271
1428527731842,0.436266,0.350755
