tstamp,mouse_x,mouse_y
1428527416034,0.548474,0.391405
1428527416085,0.550269,0.391405
1428527416177,0.556553,0.390244
1428527416275,0.576302,0.387921
1428527416338,0.598743,0.38676
1428527416435,0.643627,0.38676
1428527416516,0.680431,0.387921
1428527416610,0.736984,0.391405
1428527416707,0.785458,0.398374
1428527416803,0.81149,0.401858
1428527416918,0.815081,0.401858
1428527416977,0.81149,0.398374
1428527417074,0.802513,0.39489
1428527417172,0.785458,0.390244
1428527417268,0.759426,0.382114
1428527417346,0.737881,0.376307
1428527417444,0.704668,0.369338
1428527417539,0.670557,0.364692
1428527417604,0.648115,0.361208
1428527417700,0.621185,0.360046
1428527417778,0.606822,0.360046
1428527417875,0.591562,0.358885
1428527417971,0.583483,0.360046
1428527418068,0.582585,0.360046
1428527418146,0.582585,0.358885
1428527418211,0.58079,0.357724
1428527418306,0.567325,0.361208
1428527418402,0.537702,0.362369
1428527418500,0.501795,0.361208
1428527418578,0.476661,0.361208
1428527418675,0.440754,0.361208
1428527418771,0.413824,0.360046
1428527418839,0.399461,0.361208
1428527418932,0.384201,0.365854
1428527419014,0.378815,0.367015
1428527419110,0.37702,0.367015
