tstamp,mouse_x,mouse_y
1428525781187,0.25763,0.300813
1428525781283,0.260323,0.304297
1428525781382,0.263914,0.307782
1428525781460,0.265709,0.310105
1428525781554,0.266607,0.312427
1428525781650,0.2693,0.313589
1428525781714,0.273788,0.315912
1428525781828,0.287253,0.318235
1428525781921,0.312388,0.317073
1428525782019,0.349192,0.319396
1428525782116,0.388689,0.319396
1428525782230,0.420108,0.320558
1428525782322,0.444345,0.324042
1428525782420,0.459605,0.328688
1428525782515,0.463196,0.329849
1428525782613,0.464093,0.332172
1428525782690,0.463196,0.332172
1428525782786,0.4614,0.33101
1428525782882,0.460503,0.329849
1428525782947,0.459605,0.329849
1428525783063,0.4614,0.337979
1428525783153,0.464093,0.361208
1428525783252,0.468582,0.400697
1428525783348,0.476661,0.452962
1428525783461,0.483842,0.513357
1428525783553,0.486535,0.567944
1428525783650,0.482944,0.612079
1428525783747,0.477558,0.646922
1428525783846,0.47307,0.675958
1428525783922,0.471275,0.688734
1428525784018,0.472172,0.692218
1428525784113,0.476661,0.688734
1428525784178,0.480251,0.686411
1428525784291,0.48833,0.684088
1428525784386,0.507181,0.68525
1428525784482,0.540395,0.689895
1428525784581,0.575404,0.696864
1428525784692,0.608618,0.703833
1428525784787,0.632855,0.710801
1428525784850,0.64632,0.716609
1428525784946,0.659785,0.722416
1428525785044,0.666068,0.721254
1428525785122,0.668761,0.718931
1428525785217,0.666068,0.714286
1428525785313,0.659785,0.706156
1428525785380,0.654399,0.700348
1428525785474,0.647217,0.689895
1428525785553,0.637343,0.67712
1428525785651,0.612208,0.635308
1428525785746,0.576302,0.566783
1428525785844,0.532316,0.491289
1428525785922,0.502693,0.444832
1428525786035,0.464093,0.379791
1428525786114,0.438959,0.32288
1428525786212,0.429982,0.288037
1428525786306,0.428187,0.2741
1428525786387,0.429084,0.268293
1428525786483,0.432675,0.270616
1428525786582,0.439856,0.283391
1428525786642,0.443447,0.296167
1428525786754,0.448833,0.320558
1428525786854,0.451526,0.347271
1428525786947,0.448833,0.367015
1428525787044,0.448833,0.370499
1428525787137,0.452424,0.362369
1428525787218,0.454219,0.353078
1428525787283,0.456912,0.342625
1428525787382,0.463196,0.329849
1428525787476,0.468582,0.321719
1428525787587,0.47307,0.313589
1428525787683,0.469479,0.299652
1428525787780,0.466786,0.29036
1428525787937,0.464991,0.296167
1428525788018,0.462298,0.299652
1428525788115,0.459605,0.30662
1428525788210,0.455117,0.31475
1428525788307,0.452424,0.31475
1428525788420,0.449731,0.312427
1428525788513,0.450628,0.311266
1428525788579,0.454219,0.31475
1428525788676,0.465889,0.324042
1428525788771,0.493716,0.347271
1428525788850,0.518851,0.371661
1428525788948,0.560144,0.414634
1428525789044,0.599641,0.461092
1428525789137,0.631059,0.506388
1428525789220,0.645422,0.535424
1428525789313,0.657092,0.571429
1428525789412,0.658887,0.59698
1428525789507,0.655296,0.60511
