tstamp,mouse_x,mouse_y
1428525818340,0.541293,0.307782
1428525818452,0.539497,0.305459
1428525818548,0.536804,0.30662
1428525818646,0.535907,0.308943
1428525818738,0.531418,0.313589
1428525818854,0.521544,0.318235
1428525818951,0.506284,0.321719
1428525819042,0.491921,0.324042
1428525819107,0.48474,0.324042
1428525819206,0.476661,0.324042
1428525819285,0.470377,0.321719
1428525819379,0.45781,0.315912
1428525819473,0.442549,0.310105
1428525819569,0.429982,0.308943
1428525819686,0.422801,0.319396
1428525819780,0.412029,0.353078
1428525819873,0.39228,0.396051
1428525819972,0.366248,0.441347
1428525820083,0.341113,0.488966
1428525820179,0.318671,0.536585
1428525820277,0.302513,0.57259
1428525820339,0.298923,0.587689
1428525820435,0.300718,0.595819
1428525820517,0.308797,0.593496
1428525820611,0.327648,0.583043
1428525820686,0.342908,0.576074
1428525820782,0.357271,0.571429
1428525820882,0.368043,0.570267
1428525820983,0.377917,0.57259
1428525821077,0.394075,0.583043
1428525821171,0.425494,0.603949
1428525821269,0.467684,0.628339
1428525821350,0.493716,0.645761
1428525821442,0.52693,0.667828
1428525821539,0.550269,0.682927
1428525821603,0.556553,0.691057
1428525821699,0.557451,0.695703
1428525821781,0.554758,0.695703
1428525821876,0.544883,0.694541
1428525821970,0.529623,0.691057
1428525822068,0.517056,0.684088
1428525822149,0.512567,0.681765
