tstamp,mouse_x,mouse_y
1428525638978,0.33842,0.577236
1428525639079,0.339318,0.577236
1428525639155,0.340215,0.578397
1428525639250,0.341113,0.579559
1428525639316,0.340215,0.578397
1428525639427,0.33842,0.579559
1428525639523,0.336625,0.583043
1428525639619,0.342011,0.58072
1428525639714,0.370736,0.571429
1428525639830,0.421005,0.549361
1428525639926,0.479354,0.511034
1428525640018,0.535907,0.46806
1428525640115,0.597846,0.426249
1428525640210,0.649013,0.392567
1428525640292,0.675045,0.372822
1428525640389,0.709156,0.349593
1428525640488,0.733393,0.333333
1428525640579,0.743267,0.325203
1428525640665,0.74237,0.324042
1428525640757,0.736984,0.32288
1428525640851,0.722621,0.319396
1428525640947,0.693896,0.303136
1428525641063,0.652603,0.286876
1428525641157,0.609515,0.277584
1428525641219,0.587074,0.2741
1428525641318,0.562837,0.272938
1428525641412,0.547576,0.278746
1428525641493,0.5386,0.284553
1428525641586,0.523339,0.296167
1428525641683,0.497307,0.304297
1428525641779,0.462298,0.30662
1428525641846,0.443447,0.307782
1428525641924,0.433573,0.310105
1428525642022,0.428187,0.312427
