tstamp,mouse_x,mouse_y
1428525793078,0.271993,0.698026
1428525793173,0.275583,0.696864
1428525793268,0.277379,0.696864
1428525793350,0.279174,0.696864
1428525793445,0.285458,0.694541
1428525793543,0.309695,0.68525
1428525793640,0.368043,0.662021
1428525793747,0.44614,0.632985
1428525793845,0.519749,0.601626
1428525793939,0.582585,0.569106
1428525794035,0.630162,0.542393
1428525794132,0.666068,0.52381
1428525794211,0.684919,0.514518
1428525794308,0.70377,0.504065
1428525794407,0.711849,0.505226
1428525794499,0.71903,0.514518
1428525794580,0.724416,0.521487
1428525794675,0.736086,0.533101
1428525794770,0.739677,0.541231
1428525794834,0.738779,0.544715
1428525794932,0.741472,0.549361
1428525795010,0.74596,0.554007
1428525795108,0.752244,0.559814
1428525795223,0.74237,0.560976
1428525795299,0.709156,0.559814
1428525795412,0.650808,0.559814
1428525795509,0.586176,0.560976
1428525795602,0.530521,0.56446
1428525795700,0.483842,0.566783
1428525795815,0.435368,0.566783
1428525795906,0.387792,0.570267
1428525795976,0.359964,0.57259
1428525796076,0.328546,0.574913
1428525796162,0.315081,0.576074
1428525796244,0.314183,0.574913
1428525796342,0.321364,0.573751
1428525796435,0.344704,0.570267
1428525796531,0.387792,0.55633
1428525796647,0.447038,0.53194
1428525796741,0.517953,0.500581
1428525796835,0.593357,0.465738
1428525796930,0.660682,0.433217
1428525797044,0.714542,0.404181
1428525797141,0.752244,0.375145
1428525797234,0.775584,0.353078
1428525797299,0.783662,0.341463
1428525797396,0.78456,0.327526
1428525797481,0.78097,0.318235
1428525797575,0.771993,0.310105
1428525797675,0.756733,0.303136
1428525797775,0.737881,0.304297
1428525797881,0.726212,0.303136
1428525797974,0.71903,0.304297
1428525798066,0.70018,0.304297
1428525798163,0.648115,0.299652
1428525798275,0.572711,0.296167
1428525798372,0.505386,0.295006
1428525798466,0.454219,0.299652
1428525798563,0.414722,0.305459
1428525798661,0.37702,0.311266
1428525798741,0.359964,0.313589
1428525798836,0.346499,0.313589
1428525798931,0.340215,0.312427
1428525799028,0.337522,0.312427
1428525799107,0.340215,0.312427
1428525799205,0.354578,0.311266
1428525799300,0.383303,0.307782
1428525799395,0.421903,0.305459
1428525799508,0.459605,0.300813
1428525799607,0.487433,0.299652
1428525799699,0.494614,0.29849
