tstamp,mouse_x,mouse_y
1428525577653,0.436266,0.836237
1428525577731,0.436266,0.835075
1428525577828,0.436266,0.833914
1428525577926,0.436266,0.831591
1428525578019,0.43447,0.83043
1428525578099,0.433573,0.83043
1428525578163,0.43088,0.83043
1428525578259,0.420108,0.832753
1428525578354,0.399461,0.837398
1428525578451,0.37702,0.840883
1428525578531,0.362657,0.842044
1428525578627,0.342908,0.842044
1428525578725,0.330341,0.83856
1428525578819,0.325853,0.832753
1428525578931,0.328546,0.81417
1428525579030,0.330341,0.794425
1428525579121,0.332136,0.765389
1428525579218,0.339318,0.727062
1428525579329,0.352783,0.687573
1428525579427,0.371634,0.649245
1428525579523,0.394075,0.606272
1428525579616,0.417415,0.565621
1428525579714,0.43447,0.518002
1428525579794,0.443447,0.486643
1428525579891,0.449731,0.442509
1428525579986,0.450628,0.399535
1428525580050,0.450628,0.373984
1428525580164,0.452424,0.337979
1428525580259,0.455117,0.311266
1428525580356,0.45781,0.296167
