tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
318334133,0.505738,0.524051,0.521311,0.53038,1
318334161,0.508197,0.510127,0.518852,0.529114,1
318334191,0.509836,0.493671,0.518033,0.526582,1
318334217,0.540164,0.546835,0.518033,0.527848,1
318334251,0.544262,0.524051,0.518852,0.526582,1
318334284,0.531967,0.556962,0.518852,0.529114,1
318334317,0.522951,0.48481,0.518852,0.526582,1
318334350,0.518033,0.526582,0.518033,0.525316,1
318334383,0.531148,0.534177,0.518852,0.526582,1
318334417,0.510656,0.488608,0.518033,0.524051,1
318334450,0.556557,0.521519,0.520492,0.522785,1
318334483,0.546721,0.549367,0.522131,0.525316,1
318334517,0.531148,0.5,0.522951,0.522785,1
318334550,0.604098,0.529114,0.527869,0.522785,1
318334583,0.615574,0.540506,0.533607,0.524051,1
318334617,0.60082,0.527848,0.538525,0.524051,1
318334651,0.62541,0.541772,0.544262,0.525316,1
318334683,0.62377,0.550633,0.55,0.526582,1
318334716,0.616393,0.492405,0.554918,0.525316,1
318334751,0.613115,0.517722,0.559836,0.524051,1
318334785,0.542623,0.505063,0.560656,0.522785,1
318334817,0.295902,0.334177,0.295902,0.334177,0
318334850,0.321311,0.360759,0.321311,0.360759,0
318334883,0.292623,0.363291,0.307377,0.362025,0
318334916,0.315574,0.373418,0.309836,0.365823,0
318334950,0.344262,0.331646,0.318852,0.356962,0
318334983,0.314754,0.363291,0.318033,0.358228,0
318335016,0.32541,0.4,0.318852,0.365823,1
318335050,0.306557,0.332911,0.317213,0.360759,1
318335083,0.313115,0.382278,0.316393,0.363291,1
318335116,0.247541,0.325316,0.309016,0.359494,1
318335150,0.279508,0.282278,0.305738,0.350633,1
318335183,0.27541,0.306329,0.302459,0.346835,1
318335216,0.257377,0.279747,0.297541,0.339241,1
318335250,0.27377,0.303797,0.295082,0.336709,1
318335283,0.253279,0.277215,0.291803,0.33038,1
318335316,0.277869,0.306329,0.290164,0.327848,1
318335350,0.245902,0.308861,0.286066,0.326582,1
318335383,0.263115,0.317722,0.284426,0.325316,1
318335416,0.259016,0.311392,0.281967,0.324051,1
318335450,0.242623,0.301266,0.278689,0.321519,1
318335483,0.387705,0.43038,0.285246,0.327848,1
318335516,0.372131,0.436709,0.290984,0.335443,1
318335550,0.391803,0.464557,0.296721,0.343038,1
318335584,0.386885,0.470886,0.303279,0.351899,1
318335616,0.390984,0.472152,0.309016,0.359494,1
318335650,0.39918,0.468354,0.314754,0.367089,1
318335683,0.403279,0.459494,0.321311,0.374684,1
318335716,0.389344,0.464557,0.32623,0.381013,1
318335750,0.431148,0.544304,0.431148,0.544304,0
318335782,0.433607,0.598734,0.433607,0.598734,0
318335816,0.420492,0.622785,0.427049,0.610127,0
318335850,0.42377,0.565823,0.42541,0.594937,0
318335882,0.410656,0.611392,0.422131,0.6,0
318335916,0.428689,0.606329,0.422951,0.601266,0
318335949,0.446721,0.550633,0.427049,0.592405,1
318335982,0.456557,0.587342,0.431148,0.591139,1
318336015,0.415574,0.592405,0.429508,0.591139,1
318336049,0.408197,0.587342,0.427049,0.591139,1
318336082,0.418033,0.58481,0.42623,0.589873,1
318336115,0.411475,0.567089,0.42459,0.588608,1
318336150,0.330328,0.33038,0.330328,0.33038,0
318336182,0.315574,0.240506,0.315574,0.240506,0
318336215,0.312295,0.287342,0.313934,0.263291,0
318336249,0.336066,0.274684,0.321311,0.267089,0
318336282,0.309836,0.274684,0.318852,0.26962,0
318336315,0.308197,0.288608,0.316393,0.273418,0
318336350,0.315574,0.289873,0.316393,0.275949,1
318336382,0.309016,0.255696,0.314754,0.273418,1
318336415,0.312295,0.292405,0.314754,0.275949,1
318336450,0.32459,0.24557,0.315574,0.272152,1
318336482,0.316393,0.25443,0.315574,0.270886,1
318336515,0.3,0.263291,0.313934,0.26962,1
318336549,0.302459,0.291139,0.313115,0.272152,1
318336582,0.284426,0.249367,0.310656,0.26962,1
318336615,0.282787,0.246835,0.308197,0.268354,1
318336649,0.268033,0.240506,0.304918,0.265823,1
318336682,0.263934,0.28481,0.301639,0.267089,1
318336715,0.261475,0.265823,0.298361,0.267089,1
318336749,0.251639,0.240506,0.294262,0.264557,1
318336782,0.266393,0.256962,0.292623,0.264557,1
318336815,0.263934,0.267089,0.290164,0.264557,1
318336849,0.284426,0.253165,0.288525,0.263291,1
318336881,0.268033,0.305063,0.286885,0.265823,1
318336915,0.280328,0.292405,0.286066,0.267089,1
318336949,0.265574,0.264557,0.284426,0.267089,1
318336981,0.244262,0.221519,0.281148,0.264557,1
318337015,0.27459,0.273418,0.280328,0.264557,1
318337048,0.261475,0.255696,0.278689,0.264557,1
318337081,0.287705,0.222785,0.278689,0.262025,1
318337115,0.262295,0.274684,0.277049,0.262025,1
318337150,0.27623,0.286076,0.27623,0.263291,1
318337181,0.303279,0.293671,0.277869,0.265823,1
318337215,0.27459,0.28481,0.277049,0.265823,1
318337252,0.27623,0.258228,0.27623,0.265823,1
318337285,0.251639,0.298734,0.27459,0.268354,1
318337316,0.270492,0.28481,0.27377,0.268354,1
318337349,0.284426,0.251899,0.27377,0.268354,1
318337381,0.371311,0.311392,0.279508,0.270886,1
318337414,0.366393,0.340506,0.284426,0.274684,1
318337448,0.372131,0.334177,0.289344,0.278481,1
318337481,0.380328,0.288608,0.295082,0.279747,1
318337514,0.354098,0.306329,0.3,0.282278,1
318337548,0.353279,0.292405,0.304098,0.283544,1
318337581,0.359016,0.344304,0.308197,0.287342,1
318337614,0.372131,0.287342,0.313115,0.288608,1
318337648,0.363934,0.313924,0.318033,0.291139,1
318337681,0.359016,0.3,0.322131,0.292405,1
318337714,0.344262,0.329114,0.32459,0.294937,1
318337748,0.355738,0.311392,0.328689,0.297468,1
318337781,0.344262,0.31519,0.331148,0.298734,1
318337814,0.363115,0.305063,0.334426,0.3,1
318337848,0.340164,0.334177,0.336066,0.302532,1
318337880,0.356557,0.320253,0.338525,0.303797,1
318337914,0.359836,0.306329,0.340984,0.305063,1
318337949,0.364754,0.292405,0.343443,0.305063,1
