tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
318278029,0.310656,0.436709,0.313934,0.508861,0
318278062,0.278689,0.41519,0.306557,0.489873,0
318278095,0.279508,0.43038,0.279508,0.43038,0
318278129,0.296721,0.422785,0.296721,0.422785,0
318278162,0.307377,0.451899,0.301639,0.437975,0
318278195,0.286885,0.425316,0.296721,0.432911,0
318278228,0.302459,0.441772,0.298361,0.435443,0
318278262,0.336066,0.5,0.305738,0.448101,0
318278295,0.839344,0.379747,0.839344,0.379747,0
318278328,0.841803,0.298734,0.841803,0.298734,0
318278362,0.858197,0.324051,0.85,0.311392,0
318278397,0.852459,0.322785,0.85082,0.31519,0
318278429,0.883607,0.339241,0.859016,0.321519,0
318278465,0.87377,0.325316,0.862295,0.321519,0
318278495,0.863934,0.320253,0.862295,0.321519,1
318278528,0.868852,0.325316,0.863934,0.322785,1
318278562,0.886066,0.313924,0.866393,0.321519,1
318278595,0.859016,0.303797,0.865574,0.318987,1
318278628,0.844262,0.303797,0.863934,0.317722,1
318278661,0.870492,0.337975,0.863934,0.318987,1
318278695,0.77459,0.270886,0.855738,0.31519,1
318278728,0.284426,0.313924,0.284426,0.313924,0
318278761,0.27377,0.335443,0.27377,0.335443,0
318278795,0.269672,0.325316,0.272131,0.33038,0
318278828,0.302459,0.358228,0.281967,0.340506,0
318278861,0.240164,0.324051,0.271311,0.336709,0
318278894,0.263934,0.336709,0.269672,0.336709,0
318278928,0.268852,0.351899,0.269672,0.339241,1
318278961,0.280328,0.324051,0.271311,0.336709,1
318278994,0.264754,0.298734,0.270492,0.331646,1
318279028,0.27623,0.329114,0.271311,0.331646,1
318279062,0.494262,0.316456,0.494262,0.316456,0
318279094,0.878689,0.281013,0.878689,0.281013,0
318279128,0.853279,0.28481,0.865574,0.283544,0
318279164,0.872951,0.286076,0.868033,0.28481,0
318279196,0.869672,0.317722,0.868033,0.292405,0
318279228,0.872131,0.270886,0.868852,0.288608,0
318279261,0.863115,0.321519,0.863115,0.321519,0
318279294,0.864754,0.312658,0.864754,0.312658,0
318279327,0.894262,0.298734,0.879508,0.305063,0
318279361,0.837705,0.263291,0.865574,0.291139,0
318279394,0.879508,0.321519,0.868852,0.298734,0
318279427,0.861475,0.331646,0.867213,0.305063,0
318279461,0.85082,0.286076,0.864754,0.302532,1
318279494,0.898361,0.28481,0.869672,0.3,1
318279527,0.853279,0.336709,0.867213,0.305063,1
318279561,0.838525,0.298734,0.863934,0.303797,1
318279594,0.855738,0.292405,0.863115,0.302532,1
318279627,0.852459,0.308861,0.862295,0.303797,1
318279661,0.859836,0.322785,0.861475,0.305063,1
318279694,0.858197,0.31519,0.861475,0.306329,1
318279727,0.820492,0.301266,0.858197,0.306329,1
318279761,0.855738,0.294937,0.857377,0.305063,1
318279794,0.89918,0.324051,0.860656,0.306329,1
318279894,0.932787,0.312658,0.87623,0.296203,1
318279927,0.906557,0.331646,0.878689,0.297468,1
318279961,0.915574,0.344304,0.881148,0.301266,1
318279994,0.944262,0.306329,0.886066,0.301266,1
318280027,0.901639,0.306329,0.887705,0.301266,1
318280061,0.92377,0.316456,0.890984,0.302532,1
318280094,0.92459,0.339241,0.893443,0.305063,1
318280127,0.913934,0.463291,0.895902,0.313924,1
318280163,0.872131,0.478481,0.895082,0.324051,1
318280193,0.92459,0.512658,0.897541,0.336709,1
318280227,0.912295,0.497468,0.89918,0.346835,1
318280261,0.872951,0.494937,0.898361,0.356962,1
318280293,0.886066,0.463291,0.898361,0.365823,1
318280327,0.936885,0.493671,0.90082,0.375949,1
318280361,0.904918,0.489873,0.901639,0.386076,1
318280393,0.669672,0.451899,0.669672,0.451899,0
318280427,0.319672,0.426582,0.319672,0.426582,0
318280461,0.307377,0.382278,0.313115,0.405063,0
318280493,0.29918,0.394937,0.309016,0.401266,0
318280526,0.310656,0.398734,0.309016,0.401266,0
318280560,0.295902,0.359494,0.306557,0.392405,0
318280593,0.302459,0.356962,0.302459,0.356962,0
318280626,0.281967,0.35443,0.281967,0.35443,0
318280660,0.240164,0.327848,0.260656,0.341772,0
318280693,0.287705,0.368354,0.269672,0.350633,0
318280726,0.267213,0.320253,0.268852,0.343038,0
318280761,0.262295,0.312658,0.268033,0.336709,0
318280793,0.244262,0.305063,0.263934,0.331646,1
318280827,0.245902,0.316456,0.261475,0.329114,1
318280861,0.261475,0.298734,0.261475,0.325316,1
318280893,0.255738,0.308861,0.260656,0.322785,1
318280926,0.259016,0.343038,0.259836,0.325316,1
318280960,0.254918,0.308861,0.259836,0.322785,1
318280993,0.259016,0.320253,0.259836,0.322785,1
318281026,0.24918,0.307595,0.258197,0.321519,1
318281060,0.240164,0.320253,0.257377,0.321519,1
318281093,0.254918,0.297468,0.256557,0.318987,1
318281126,0.263934,0.296203,0.257377,0.317722,1
318281160,0.245902,0.305063,0.256557,0.316456,1
318281192,0.257377,0.310127,0.256557,0.31519,1
318281226,0.268852,0.322785,0.257377,0.31519,1
318281260,0.254918,0.311392,0.256557,0.31519,1
